stopId,long_name,short_name,latitude,longitude,accusative_case,genitive_case
13001355,Sjálandsskóli,Sjálandsskóli,64.092516,-21.934146,Sjálandsskóla,Sjálandsskóla
13001356,Sjálandsskóli,Sjálandsskóli,64.092451,-21.933774,Sjálandsskóla,Sjálandsskóla
13001361,Kauptún,Kauptún,64.07396336,-21.91408753,Kauptúni,Kauptúns
13001362,Arnarnesvegur / Nónhæð,Nónhæð,64.09663864,-21.89455032,Nónhæð,Nónhæðar
13001504,Hraunsholt,Hraunsholt,64.086284,-21.937748,Hraunsholti,Hraunsholts
13001506,Silfurtún,Silfurtún,64.095163,-21.922373,Silfurtúni,Silfurtúns
13001507,Arnarneshæð,Arnarneshæð,64.099366,-21.914992,Arnarneshæð,Arnarneshæðar
13001516,Góa,Góa,64.07575467,-21.92852691,Góu,Góu
13001523,Hegranes,Hegranes,64.096185,-21.921988,Hegranesi,Hegraness
13001525,Ásar,Ásar,64.086355,-21.938269,Ásum,Ása
13001584,Flatahraun / Álftanesvegur,Álftanesvegur,64.077452,-21.92963,Álftanesvegi,Álftanesvegar
13001585,Góa,Góa,64.07617456,-21.92863291,Góu,Góu
13001586,Reykjanesbraut / Vífilsstaðavegur,Vífilsstaðavegur,64.0834746,-21.89171791,Vífilsstaðavegi,Vífilsstaðavegar
13001587,Reykjanesbraut / Vífilsstaðavegur,Vífilsstaðavegur,64.0834746,-21.89656734,Vífilsstaðavegi,Vífilsstaðavegar
14001500,Fjörður,Fjörður,64.067803,-21.957581,Firði,Fjarðar
14001501,Sjónarhóll,Sjónarhóll,64.072042,-21.95451,Sjónarhóli,Sjónarhóls
14001502,Hraunbrún,Hraunbrún,64.075941,-21.951317,Hraunbrún,Hraunbrúnar
14001503,Stakkahraun,Stakkahraun,64.079737,-21.948809,Stakkahrauni,Stakkahrauns
14001504,Hjallabraut / Hraunbrún,Hraunbrún,64.07239864,-21.9662195,Hraunbrún,Hraunbrúnar
14001505,Hjallabraut / Skátaheimilið,Skátaheimilið,64.07541806,-21.9661126,Skátaheimilinu,Skátaheimilisins
14001506,Hjallabraut / Skjólvangur,Skjólvangur,64.07729143,-21.96584171,Skjólvangi,Skjólvangs
14001507,Breiðvangur / Hjallabraut,Hjallabraut,64.08016154,-21.96163584,Hjallabraut,Hjallabrautar
14001508,Breiðvangur,Breiðvangur,64.0816366,-21.96064484,Breiðvangi,Breiðvangs
14001509,Engidalsskóli,Engidalsskóli,64.08222428,-21.95738378,Engidalsskóla,Engidalsskóla
14001510,Breiðvangur / Norðurvangur,Breiðvangur,64.08218653,-21.96053958,Breiðvangi,Breiðvangs
14001511,Breiðvangur / Hjallabraut,Hjallabraut,64.08014754,-21.96188054,Hjallabraut,Hjallabrautar
14001512,Hjallabraut / Laufvangur,Laufvangur,64.0787958,-21.95422691,Laufvangi,Laufvangs
14001513,Flatahraun / Sléttahraun,Sléttahraun,64.0751527,-21.95014535,Sléttahrauni,Sléttahrauns
14001514,Iðnskólinn,Iðnskólinn,64.07540867,-21.94596744,Iðnskólanum,Iðnskólans
14001515,Kaplakriki,Kaplakriki,64.07541845,-21.93667601,Kaplakrika,Kaplakrika
14001516,Hamraberg / Víðiberg,Víðberg,64.0739943,-21.93252493,Víðibergi,Víðibergs
14001517,Hamraberg / Lyngberg,Lyngberg,64.07310437,-21.93433812,Lyngbergi,Lyngbergs
14001518,Hamraberg / Hnotuberg,Hnotuberg,64.07165306,-21.93637874,Hnotubergi,Hnotubergs
14001519,Hamraberg / Einiberg,Einiberg,64.06827671,-21.93593829,Einibergi,Einibergs
14001520,Lækjarskóli,Lækjarskóli,64.06706345,-21.93960391,Lækjarskóla,Lækjarskóla
14001521,Selvogsgata,Selvogsgata,64.06373427,-21.94644665,Selvogsgötu,Selvogsgötu
14001522,Öldutúnsskóli,Öldutúnsskóli,64.06259038,-21.94441797,Öldutúnsskóla,Öldutúnsskóla
14001523,Kaldárselsvegur / Dalsás,Dalsás,64.05795782,-21.93467943,Dalsási,Dalsáss
14001524,Brekkuás,Brekkuás,64.05481281,-21.93036935,Brekkuási,Brekkuáss
14001525,Goðatorg,Goðatorg,64.05796016,-21.94909136,Goðatorgi,Goðatorgs
14001526,Hjallabraut,Hjallabraut,64.079085,-21.94997,Hjallabraut,Hjallabrautar
14001527,Hraunbrún,Hraunbrún,64.074785,-21.952547,Hraunbrún,Hraunbrúnar
14001528,Hellisgerði,Hellisgerði,64.071812,-21.955183,Hellisgerði,Hellisgerðis
